prova,local,data,link
TRANSFORMERS RUN,"SÃO PAULO, SP",2022-05-22,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2087/transformers_run.clax;
9° DESAFIO RIVELLI,"BARBACENA, MG",2022-08-07,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2014/desafio_rivelli.clax;
BIMBO GLOBAL RACE,"SÃO PAULO, SP",2022-09-25,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2256/global_energy_sp.clax;
SICREDI NIGHT RUN  - 6º EDIÇÃO,"TEUTÔNIA, RS",2022-11-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2129/sicredi_night_run.clax;
SÃO GARRAFA 2022,"NITERÓI, RJ",2022-12-11,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1236;
XTERRA - ILHA GRANDE - RJ,"RIO DE JANEIRO , RJ",2023-03-11,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2444/xterra_ilha_grande.clax;
DESAFIO DE RUA CAPAL 2023,"ARAPOTI, PR",2023-05-01,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2554/desafio_capal.clax;
3ª ALVOBIKE - ALVORADA DO SUL - 2023,,2023-08-06,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2715/3_alvobike.clax;
RAINHA DO MAR - RJ 2022,"RIO DE JANEIRO, RJ",2022-02-06,https://www.chronomax.com.br/index.php/Maxraceresults/dados/915;
CIRCUITO CAPIXABA DE MANTANHAS - MATILDE 2022,"ALFREDO NEVES, ES",2022-04-10,https://www.chronomax.com.br/index.php/Maxraceresults/dados/985;
VENUS SP 2022,"SÃO PAULO, SP",2022-05-29,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1861/venus_sp.clax;
CORRIDA ITALIANORIO 2022,"RIO DE JANEIRO, RJ",2022-06-05,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1034;
CIRCUITO DE CORRIDAS FECAM 2022 - ETAPA 3,"PIQUIRIVAÍ, PR",2022-08-28,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1971/circuito_fecam_integrado.clax;
CIRCUITO LIGHT RIO ANTIGO 2022 - ETAPA CINELÂNDIA,"RIO DE JANEIRO, RJ",2022-10-16,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1184;
TRICOLOR RUN,"SÃO PAULO, SP",2022-12-04,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2325/tricolor_run.clax;
2ª CORRIDA DO DISTRITO DE VIDIGAL 2023 - CIANORTE,"CIANORTE, PR",2023-06-04,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2114/corrida_distrito_vidigal.clax;
BIMBO GLOBAL RACE - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2697/bimbo_global_race_sp.clax;
VENUS RUN - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-10-01,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2509/venus_run_sp.clax;
CIRCUITO CORRIDA INCLUSIVA IV - ETAPA PAULÍNIA,,2022-02-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1887/corrida_inclusiva_paulinia.clax;
CIRCUITO WINE RUN E BIKE,"ARMAÇÃO DE BÚZIOS, RJ",2022-05-21,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1030;
CIRCUITO DE CORRIDAS FECAM 2022 - ETAPA 2,"CAMPO MOURÃO, PR",2022-06-25,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1970/fecam_et2.clax;
CENTAURO REVEZA ADIDAS - RJ,"RIO DE JANEIRO, RJ",2022-10-09,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2285/centauro_reveza_rj.clax;
CORRIDA 25º BPM UMUARAMA,"UMUARAMA, PR",2022-11-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2291/corrida_25_bpm.clax;
XTERRA ILHA GRANDE - STORM SWIM,"ILHA GRANDE, RJ",2023-03-11,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2444/xterra_ilha_grande_storm.clax;
SEVEN RUN - 2023,"SÃO PAULO, SP",2023-04-30,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2503/seven_run_sp.clax;
DESAFIO TUPINAMBÁ 2023,"NITERÓI, RJ",2023-08-06,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1484;
CORRIDA DO 25º BPM - UMUARAMA - PR - 2023,"UMUARAMA, PR",2023-08-20,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2645/corrida_25_bpm_umuarama.clax;
NIGHT RUN - ETAPA 1 - FOR,"FORTALEZA, CE",2023-10-21,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1535;
CIRCUITO DA FAMÍLIA - ETAPA CARNAVAL 2022,"RIO DE JANEIRO, RJ",2022-04-10,https://www.chronomax.com.br/index.php/Maxraceresults/dados/987;
PARADISE ADVENTURE RACE 2022,"ARMAÇÃO DE BUZIOS, ",2022-05-15,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1027;
CORRIDA DISTRITO DE VIDIGAL 5KM 2022,"CIANORTE, PR",2022-06-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2112/corrida_vidigal.clax;
MARATONA INTERNACIONAL DE FLORIPA MICHELOB ULTRA,"FLORIANOPOLIS, SC",2022-08-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2194/maratona_int_floripa.clax;
CORRIDA DO CHOQUE 2023,"RIO DE JANEIRO, RJ",2023-06-04,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1420;
BIMBO GLOBAL RACE 2023 - RIO DE JANEIRO,"RIO DE JANEIRO , RJ",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2698/bimbo_global_race_rj.clax;
BSB CITY HALF MARATHON 2023,"BRASÍLIA, DF",2023-11-12,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2512/bsb_city_half_marathon.clax;
POA DAY RUN - ETAPA 3 - 2023,"PORTO ALEGRE, RS",2023-11-19,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2370/poa_day_run.clax;
NEO RUNNING - VILA LOBOS,"SÃO PAULO, SP",2022-02-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1897/neo_running_vl.clax;
11ª CORRIDA DO IMIGRANTE - SANTA TERESA RUNNER,"SANTA TERESA, ES",2022-06-19,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1043;
UPHILL SERRA DOS ÓRGÃOS 2022,"TERESÓPOLIS, RJ",2022-07-02,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1920/uphill_serra_orgaos.clax;
BLACK SHARK RACE,"SÃO PAULO, SP",2022-08-07,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2199/black_shark_race.clax;
XTERRA CARAGUA 2022,"CARAGUATATUBA, SP",2022-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2210/xterra_caragua.clax;
MEIA MARATONA DO CRISTO 2022,"RIO DE JANEIRO, RJ",2022-10-08,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/outubro/mmc/mmc22.clax;
CCR PEDALANDO CONTRA A FOME,"SAO PAULO, SP",2022-10-23,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1968/ccr_pedalando_contra_fome.clax;
CORRIDA E CAMINHADA DA CONSCIÊNCIA –2022,"SÃO PAULO, SP",2022-11-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2277/corrida_caminhada_da_consciencia.clax;
XTERRA - ILHA BELA - SP 2023,"SÃO PAULO, SP",2023-05-13,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2574/xterra_ilha_bela.clax;
ASICS GOLDEN RUN - RIO DE JANEIRO - 2023,"RIO DE JANEIRO, SP",2023-07-02,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2404/asics_golden_run_rj.clax;
32º TROFÉU BRASIL - 2023 - ETAPA 2,"SANTOS, SP",2023-06-18,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2458/tbt_etapa2.clax;
SP CITY MARATHON - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-07-30,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2513/sp_city_marathon.clax;
GREENV RUN THE BRIDGE - 2023,"SÃO PAULO, SP",2023-09-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2505/run_the_bridge.clax;
2ª CORRIDA SOLIDÁRIA REDE FEMININA DE COMBATE AO CÂNCER,"MARINGA, PR",2023-10-15,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2386/2_corrida_solidaria_rede_feminina_combate_ao_cancer.clax;
MARATONA DE JURERÊ,"FLORIANOPÓLIS, SC",2023-11-05,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2702/maratona_de_jurere.clax;
CORRIDA UNIMED RIO - ETAPA LAGOA 2022,"RIO DE JANEIRO, RJ",2022-04-10,https://www.chronomax.com.br/index.php/Maxraceresults/dados/990;
CIRCUITO SAÚDE - ETAPA SAO CARLOS,"SÃO CARLOS, SP",2022-05-15,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1886/saude_sao_carlos.clax;
3H DE INTERLAGOS 2022,"SÃO PAULO, SP",2022-06-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2105/3h_interlagos.clax;
RUN DE JANEIRO - ETAPA LAGOA 2022,"RIO DE JANEIRO, RJ",2022-09-04,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1120;
STORM RIDERS - 2 ETAPA,"SÃO PAULO, SP",2022-11-06,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2275/storm_riders_ll.clax;
RIO AQUATHLON 7ª ETAPA 2022,"RIO DE JANEIRO, RJ",2022-11-27,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1231;
ALOHA ILHA BELA - SÃO PAULO,"SÃO PAULO, SP",2023-03-10,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2446/aloha_ilhabela.clax;
CORRIDA NETSHOES - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-08-27,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2567/corrida_netshoes.clax;
UPHILL SERRA DO RIO DO RASTRO 2023,"TREVISO, SC",2023-09-15,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2609/uphill_rio_rastro.clax;
38ª CORRIDA INTEGRAÇÃO CAMPINAS,"CAMPINAS, ",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2751/integracao_campinas.clax;
60ª CORRIDA E CAMINHADA CONTRA O CÂNCER DE MAMA,"SAO PAULO, SP",2023-10-15,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2550/60_corrida_contra_cancer_mama.clax;
CIRCUITO DAS ESTAÇÕES 2023 - VERÃO BH,"BELO HORIZONTE, MG",2023-11-26,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2662/ce_verao_bh.clax;
10ª MEIA MARATONA PAGUE MENOS CAMPINAS,"CAMPINAS, SP",2022-06-12,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2155/meia_campinas.clax;
PICOS PRO RACE - 10 ANOS,"PICOS, PI",2022-07-02,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1847/picos_pro_mtb.clax;
GRANGIRO MTB BÚZIOS 2022,"ARMAÇÃO DE BUZIOS, RJ",2022-08-07,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1107;
CIRCUITO DAS ESTAÇÕES - PRIMAVERA - REC,"RECIFE, PE",2022-09-18,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1086;
CORRIDA DAS ACADEMIAS,"ESPIRITO SANTO, ES",2022-10-16,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2181/corrida_das_academias.clax;
21ª MEIA MARATONA ROTARY CLUB DE TOLEDO,"TOLEDO , PR",2022-10-23,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2164/meia_maratona_toledo.clax;
1ª VOLTA CICLISTICA DE BELO MONTE,"ALTAMIRA, PA",2022-11-20,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/nov/vcbm/vcbm.clax;
24HRS CORRER TOLEDO - 2023,"TOLEDO, PR",2023-04-22,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2490/24h_toledo.clax;
38ª MARATONA INT. DE PORTO ALEGRE 2023,"PORTO ALEGRE, ",2023-06-03,https://chronomax.com.br/app/2305/;
XTERRA - ILHA BELA - SWIM STORM - 2023,", SP",2023-05-13,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2574/xterra_ilha_bela_storm.clax;
VILLE SAINTE ANNE - FAMILY RUN,"CAMPINAS, SP",2023-09-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2791/ville_sainte_anne_family_run.clax;
CORRIDA DO GRÊMIO,"PORTO ALEGRE, RS",2023-10-22,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2373/corrida_do_gremio.clax;
W21K 2023,"SÃO PAULO, SP",2023-11-26,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2511/w21_sp.clax;
TRICOLOR RUN 2023,"SÃO PAULO, SP",2023-11-19,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2402/tricolor_run.clax;
CIRCUITO CAPIXABA DE MONTANHAS-AFONSO CLÁUDIO,,2022-08-21,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1118;
3 HORAS CAMPO DE PROVAS FORD,"SÃO PAULO, SP",2022-09-04,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2106/3h_ford.clax;
TRAVESSIA DO CANAL DE ILHABELA,"ILHABELA, SP",2022-11-06,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2311/travessia_ilhabela.clax;
W21K - SP,"SÃO PAULO, SP",2022-11-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1866/w21k_sp.clax;
5K DA PAM,"PAULINIA, SP",2023-08-27,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2787/5k_da_pam.clax;
DESAFIO SHOGUN/SAMURAI - UPHILL 2023,"TREVISO, SC",2023-09-15,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2609/desafios_uphill.clax;
3ª CORRIDA DAS PEROBAS - CIANORTE,"CIANORTE, PR",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2116/3_corrida_das_perobas.clax;
GFNY BENTO GONCALVES 2023,"BENTO GONÇALVES, RS",2023-10-15,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2757/gfny_bento_goncalves.clax;
CORRIDA E CAMINHADA DO BEM ESTAR 2023 - SP,"SÃO PAULO, SP",2023-11-12,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2713/bem_estar_corrida_e_caminhada.clax;
WTR ON CAMPOS DO JORDÃO 2022,"CAMPOS DO JORDÃO, SP",2022-10-15,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/outubro/wtrcj/wtrcj22.clax;
CIRCUITO DE CORRIDAS FECAM 2022 - ETAPA 4,"CAMPO MOURÃÕ, PR",2022-11-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1972/circuito_fecam_4.clax;
FLA RUN - CORRIDA OFICIAL DO FLAMENGO,"RIO DE JANEIRO, RJ",2022-12-11,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2327/flarun.clax;
CORRIDA RUSTICA TIRADENTES - 2023,"MARINGÁ , PR",2023-04-21,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2514/rustica_tiradentes.clax;
BIKE SERIES INTERLAGOS 2023,"SÃO PAULO, SP",2023-06-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2489/interlagos_night_edition.clax;
LETAPE - RIO DE JANEIRO 2023,"RIO DE JANEIRO , RJ",2023-06-25,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2595/letape_rio.clax;
CORRIDA DO HC 2023 - CAMPINAS,"CAMPINAS, SP",2023-11-26,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2407/hc_run_corrida_pela_vida.clax;
SKATE RUN SP 2023,"SÃO PAULO, SP",2023-11-19,https://chronomax.com.br/resultados/g-live.html?f=2023/2926/skate_run.clax;
SKATE RUN 2022,"SÃO PAULO, SP",2022-11-06,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2319/skate_run.clax;
UPHILL MARATHON CORCOVADO,"CORCOVADO, RJ",2022-11-26,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2308/uphill_corcovado.clax;
CIRCUITO CAPIXABA DE MONTANHAS - SANTA TERESA 2023,"SANTA TERESA, ES",2023-03-19,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1343;
LETAPE CUNHA 2023,"CUNHA, RJ",2023-03-26,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2454/letape_brasil_cunha.clax;
CORRIDA ABRAS KIDS,"SAO PAULO, SP",2023-04-15,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2424/corrida_abras_kids.clax;
STORM RIDERS II - 2023,"SÃO PAULO, SP",2023-11-12,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2549/storm_riders_ll.clax;
REI E RAINHA DO MAR COPACABANA,"RIO DE JANEIRO, RJ",2022-12-11,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2347/rrm_copacabana.clax;
32º TROFEU BRASIL - 2023 - ETAPA 1,"SANTOS, SP",2023-05-07,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2457/tbt_etapa1.clax;
12ª CORRIDA DO IMIGRANTE DE SANTA TERESA,"SANTA TERESA , ES",2023-06-18,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1435;
CORRIDA  T&O CUP 2023 SANTANDER,"SÃO PAULO, SP",2023-08-19,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2759/corrida_to_cup_santander.clax;
CORRIDA DAS TARTARUGAS NINJA - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2712/corrida_das_tartarugas_ninja.clax;
ATHENAS RUN LONGER,"SÃO PAULO, SP",2023-10-29,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2510/athenas_run_longer.clax;
CORRIDA DO LACRE AMIGO 2023 - SP,"SÃO PAULO, SP",2023-11-26,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2589/corrida_do_lacre_amigo.clax;
XV CORRIDA ZUMBI DOS PALMARES 2023,"VITÓRIA, ES",2023-11-19,https://chronomax.com.br/resultados/g-live.html?f=2023/2851/xv_corrida_zumbi_palmares.clax;
5º CORRIDA E DUATHLON ROTARY CIANORTE 2023,"PARANA, PR",2023-03-26,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2492/corrida_duatlhon_rotary.clax;
POA NIGHT RUN - 2º ETAPA - 2023,"PORTO ALEGRE, RS",2023-09-23,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2367/poa_night_run_etapa_2.clax;
22 MEIA MARATONA ROTARY CLUB TOLEDO,"TOLEDO, PR",2023-10-22,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2627/22_meia_maratona_rotary_club_de_toledo.clax;
RIO CITY HALF MARATHON - 2023,"RIO DE JANEIRO , RJ",2023-05-07,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2466/rio_city_half_marathon.clax;
DESAFIOS 21K + 42K - MARATONA INT. DE FLORIPA,"FLORIANOPOLIS, SC",2023-08-27,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2708/desafio_maratona_floripa.clax;
UTMB PARATY - 2023,"PARATY, RJ",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2473/utmb_paraty.clax;
BRONKOS RACE 2023 - ETAPA ODIN,"RIBEIRÃO PIRES, SP",2023-11-19,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2928/bronkos_race.clax;
CORRIDA VERA CRUZ SP,"CAMPINAS, SP",2023-10-08,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2837/corrida_vera_cruz_sp.clax;
STORM RIDERS - 2023,"SÃO PAULO, SP",2023-08-13,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2548/storm_riders.clax;
CORPORATE RUN – SÃO PAULO - 2023,"SÃO PAULO, SP",2023-08-27,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2596/corporate_run.clax;
MARATONA INTERNACIONAL DE FLORIPA 2023,"FLORIANÓPOLIS , SC",2023-08-25,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2708/maratona_de_floripa_internacional.clax;
LETAPE - CAMPOS DO JORDÃO - 2023,"CAMPOS DO JORDÃO, SP",2023-09-24,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2455/letape_brasil.clax;
2ª CORRIDA E CAMINHADA RASPINHA,"SANTO ANTÔNIO DA PATRULHA, RS",2023-10-29,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2373/2_corrida_e_caminhada_raspinha_solidaria.clax;
ULTRAMARATONA BM - 2023,"BERTIOGA, SP",2023-10-21,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2504/ultramaratona_bm.clax;
UPHILL MARATHON CORCOVADO 2023,"RIO DE JANEIRO, RJ",2023-11-25,https://chronomax.com.br/resultados/g-live.html?f=2023/2608/uphill_corcovado.clax;
