mes,corrida,link
JANEIRO,Ouro Verde,https://www.tbhesportes.com.br/ouro-verde-run-2023/
FEVEREIRO,Park Run 2023 - Eventos,https://www.tbhesportes.com.br/park-run-2023/
FEVEREIRO,Bonissima Run 2023 - Etapa Verão - Eventos,https://www.tbhesportes.com.br/bonissima-run-etapa-verao-2023/
MARÇO,Park Run 2023 - Eventos,https://www.tbhesportes.com.br/corra-pra-night-2023/
MARÇO,Corrida do América 2023 - Eventos,https://www.tbhesportes.com.br/corrida-do-america-2023/
MARÇO,Treinão Anivesario do Galo 115 anos 2023 - Eventos,https://www.tbhesportes.com.br/all-limits-marco-2023/
MARÇO,Treinão Anivesario do Galo 115 anos 2023 - Eventos,https://www.tbhesportes.com.br/treinao-aniversario-do-galo-115-anos/
ABRIL,Corrida da Polícia Federal Contra a Corrupção 2023 - Eventos,https://www.tbhesportes.com.br/corrida-da-policia-federal-contra-a-corrupcao-2023/
ABRIL,Patrimar Run 2023 - Eventos,https://www.tbhesportes.com.br/patrimar-run/
ABRIL,Cats Run BH - Eventos,https://www.ticketsports.com.br/e/cats-run-mg-34971
ABRIL,SAAEMG,https://www.tbhesportes.com.br/4acorrida-saaemg/
ABRIL,Corre São José da Lapa - Eventos,https://www.tbhesportes.com.br/corresaojosedalapa/
MAIO,15ª Corrida João Cesar de Oliveira - Eventos,https://www.tbhesportes.com.br/15a-corrida-joao-cesar-de-oliveira/
MAIO,Corrida do Trabalhador de Ibirité 2023 - Eventos,https://www.tbhesportes.com.br/corrida-do-trabalhador-de-ibirite-2023/
MAIO,23ª-Encontro-Delas-Eventos,https://www.encontrodelas.com.br/
MAIO,Corrda Supernosso 2023 - Eventos,https://www.tbhesportes.com.br/corrida-supernosso-2023
MAIO,Treinão Só Marcas Asics 2023 - Eventos,https://www.tbhesportes.com.br/treinao-so-marcas-asics-2023/
MAIO,Cemig Run 2023 - Eventos,https://www.tbhesportes.com.br/cemig-run-2023
MAIO,X-Corrida-e-Caminhada-Fenae-do-Pessoal-da-Caixa-Eventos,https://www.tbhesportes.com.br/x-corrida-e-caminhada-fenae-do-pessoal-da-caixa/
JUNHO,7ª Corrida do Mercado Central - Eventos,https://www.tbhesportes.com.br/7a-corrida-e-caminhada-do-mercado-central/
JUNHO,Milwaukee Run & Ride 2023 - WE - Eventos,https://www.tbhesportes.com.br/milwaukee-run-ride-we-2023
JUNHO,Milwaukee-Run-Ride-2023-WE-Eventos-1,https://www.bravusrace.com.br/etapa/belo-horizonte/speed/
JUNHO,14ª MMIBH - Eventos,https://www.meiamaratonadebh.com.br/
JULHO,Treinão 5 Estrelas - Eventos,https://www.tbhesportes.com.br/treinao5estrelas/
JULHO,Corrida Farid - Etapa Congonhas - Eventos,https://www.tbhesportes.com.br/corridafaridcongonhas/
JULHO,Corrida Flip das Equipes 2023 - Eventos,https://www.tbhesportes.com.br/corridaflipdasequipes2023/
JULHO,11ª Corrida da Cooperacao 2023 - Eventos,https://www.tbhesportes.com.br/11a-corrida-da-cooperacao/
JULHO,Girl Power Run - Eventos,https://www.girlpowerseries.com.br/girl-power-run/fase6/belo-horizonte/
AGOSTO,34ª - Bonissima Run 2023 - Etapa Inverno - Eventos,https://www.tbhesportes.com.br/bonissimarun/
AGOSTO,34ª-Bonissima-Run-2023-Etapa-Inverno-Eventos,https://www.tbhesportes.com.br/corridadochaves/
AGOSTO,Corrida do Galo 2023 - Evento,https://www.corridadogalo.com.br/
SETEMBRO,Caminhada-Mano-Down-Ouro-Preto,https://www.tbhesportes.com.br/2o-corrida-noturna-de-contagem/
SETEMBRO,Frame Run 2023 - Eventos,https://www.tbhesportes.com.br/framerun/
SETEMBRO,Frame-Run-2023-Eventos,https://www.tbhesportes.com.br/iii-circuito-esportivo-mtc/
SETEMBRO,Bop Games Run 2023 - Eventos,https://www.tbhesportes.com.br/bopgamesrun/
SETEMBRO,Corrida Itatiaia 2023 - Eventos,http://corridaitatiaia.com.br/
SETEMBRO,24ª-Encontro-Delas-Eventos,https://www.encontrodelas.com.br/
SETEMBRO,Corrida Eu Amo leite - Eventos,https://www.tbhesportes.com.br/corrida-eu-amo-leite/
OUTUBRO,Corrida Verdemar 2023 - Eventos,https://www.tbhesportes.com.br/corridaverdemar/
OUTUBRO,Corrida do Bem eco,https://eco.circuitocorridadobem.com/belo-horizonte/
OUTUBRO,Corrida-Verdemar-2023-Eventos-1,https://www.tbhesportes.com.br/corridaaraujo/
OUTUBRO,Corrida Troca Raul - Eventos,https://www.tbhesportes.com.br/corrida5kmtocaraul/
OUTUBRO,Corrida Farid - Etapa Itabirito - Eventos,https://www.tbhesportes.com.br/corridafariditabirito/
OUTUBRO,Circuito Up Motion - Eventos,https://www.tkx.com.br/evento/127/circuito-up-motion-belo-horizonte/
OUTUBRO,Night Run - Eventos,https://www.nightrun.com.br/belo-horizonte/belo-horizonte/
OUTUBRO,4ª Corrida ViaShopping - Eventos,https://www.tbhesportes.com.br/corridaviashopping/
OUTUBRO,2ª Corrida da Esperança Mario Penna - Eventos,https://www.tbhesportes.com.br/corridamariopenna
NOVEMBRO,STFRS-BH-Airport-Eventos,https://www.tbhesportes.com.br/satirasunsetrun/
NOVEMBRO,STFRS-BH-Airport-Eventos,https://www.tbhesportes.com.br/corridadasbancariasebancarios/
NOVEMBRO,8ª Corrida ItaúPower Shopping - Eventos,https://www.tbhesportes.com.br/corridalupoitaupowershopping/
NOVEMBRO,Corrida da Força Aérea 2023 - Eventos,https://www.tbhesportes.com.br/corridadaforcaaerea/
NOVEMBRO,12ª Corrida do Cruzeiro - Divulgação,https://www.tbhesportes.com.br/corridadocruzeiro/
NOVEMBRO,Corrida Arena MRV - Divulgação,https://www.tbhesportes.com.br/corridaarenamrv/
DEZEMBRO,All Limits - Novembro 2023 - Eventos,https://www.tbhesportes.com.br/alllimits/
